"","TSLA.Open","TSLA.High","TSLA.Low","TSLA.Close","TSLA.Volume","TSLA.Adjusted"
"1",62.400002,64.421997,62.200001,64.106003,21761000,64.106003
"2",64.199997,65.050003,63.110001,63.450001,22607500,63.450001
"3",62.574001,63.709999,61.136002,62.924,49731500,62.924
"4",63.324001,63.448002,62.400002,63.316002,22956000,63.316002
"5",63.200001,67.403999,63.099998,67.281998,49297000,67.281998
"6",67.031998,67.760002,65.480003,66.737999,35733000,66.737999
"7",66.440002,67.400002,66,66.959999,21549500,66.959999
"8",67.047997,68.961998,66.652,67.589996,33227500,67.589996
"9",67.725998,68.082001,66.734001,67.244003,24125500,67.244003
"10",67.508003,69,66.959999,68.012001,32371500,68.012001
"11",68.094002,69.800003,67.949997,69.431999,35517500,69.431999
"12",69.134003,70.459999,68.748001,68.914001,28429000,68.914001
"13",69,70.117996,68.519997,70.003998,24441500,70.003998
"14",69.879997,71.566002,69.839996,70.311996,31052000,70.311996
"15",72,72.099998,70.199997,70.557999,27327000,70.557999
"16",70.916,70.949997,68.704002,69.178001,26437500,69.178001
"17",69.653999,69.839996,67.279999,67.528,33701500,67.528
"18",68.300003,68.800003,67.141998,68.57,22697000,68.57
"19",67.970001,70.169998,67.655998,69.905998,23735500,69.905998
"20",69.028,69.653999,68.433998,69.164001,23588500,69.164001
"21",69.501999,71.237999,69.038002,70.862,31070500,70.862
"22",70.199997,71.931999,69.725998,69.849998,20988500,69.849998
"23",69.688004,70.389999,68.101997,68.75,18524000,68.75
"24",67.594002,68.893997,66.599998,66.625999,22320500,66.625999
"25",65.042,67.244003,64.699997,66.793999,25442000,66.793999
"26",67.797997,69.199997,67.132004,69,34846000,69
"27",68.662003,69.723999,62.919998,63.046001,51573000,63.046001
"28",63.986,64.195999,58.952,62.084,64668500,62.084
"29",63.226002,63.616001,61.25,63.146,31139000,63.146
"30",63.004002,64.837997,62.501999,64.732002,22801000,64.732002
"31",64.167999,65.234001,63.703999,64.461998,19753500,64.461998
"32",64.900002,66.823997,64.480003,66.814003,29564500,66.814003
"33",66.5,68.624001,66.328003,67.098,28213000,67.098
"34",66.893997,68.167999,66.300003,66.954002,20047000,66.954002
"35",67.206001,67.938004,66.634003,66.660004,16098000,66.660004
"36",67.106003,69.487999,66.949997,69.234001,34849000,69.234001
"37",69.566002,70.998001,69.419998,70.410004,29087000,70.410004
"38",70.699997,71.800003,70.472,71.484001,21700000,71.484001
"39",71.25,71.998001,70.001999,70.197998,23987000,70.197998
"40",70.514,71.047997,68.444,68.612,30348500,68.612
"41",69.001999,69.734001,66.014,66.185997,34428000,66.185997
"42",65.396004,67.043999,64.594002,67.024002,25464000,67.024002
"43",66.477997,67.550003,65.858002,66.669998,19119000,66.669998
"44",66.75,67.274002,65.405998,65.639999,21428500,65.639999
"45",65.087997,66.5,64.348,66.459999,25036500,66.459999
"46",66.571999,66.660004,65.253998,65.82,17831000,65.82
"47",64.82,65.697998,64.473999,65.433998,27534000,65.433998
"48",65.722,69.442001,65.300003,69.101997,41320000,69.101997
"49",65.722,69.442001,65.300003,68.367996,29829000,68.367996
"50",67.351997,67.961998,64.786003,65.325996,39837000,65.325996
"51",65.875999,66.57,64.220001,65.120003,32824000,65.120003
"52",64.585999,65.480003,63.813999,64.269997,30586500,64.269997
"53",63.299999,64.150002,61.933998,62.712002,37421500,62.712002
"54",62.973999,63.25,61.751999,62.110001,23821500,62.110001
"55",62.049999,64.487999,62.037998,63.306,29792000,63.306
"56",62.778,63.764,61.636002,61.82,24699000,61.82
"57",62.25,62.25,60.09,60.307999,33274500,60.307999
"58",61.467999,61.518002,58.271999,60.835999,41876000,60.835999
"59",60.799999,60.854,55.436001,55.835999,69360000,55.835999
"60",52.916,53.736,50.419998,51.556,105007000,51.556
"61",51.298,54.192001,49.641998,53.226002,75853500,53.226002
"62",51.251999,52.066002,48.917999,50.495998,80570000,50.495998
"63",53.964001,54.669998,50.897999,53.506001,94222000,53.506001
"64",50.556,57.674,50.400002,57.388,99483500,57.388
"65",57.868,61.251999,57.639999,61.144001,95605500,61.144001
"66",60.200001,61.855999,59.099998,59.860001,67601500,59.860001
"67",60.074001,61.900002,57.841999,57.931999,51249000,57.931999
"68",59.793999,61.419998,58.736,60.939999,54949000,60.939999
"69",60.147999,61.796001,59.931999,60.186001,37414500,60.186001
"70",60.464001,60.790001,58.736,58.816002,38044000,58.816002
"71",60.720001,60.790001,59.195999,60.068001,36636000,60.068001
"72",59.799999,59.931999,57.801998,58.242001,31692500,58.242001
"73",57.773998,58.433998,56.501999,57.537998,3.5e+07,57.537998
"74",58.216,60.048,57.632,58.669998,32788500,58.669998
"75",58.216,60.202,57.709999,60.015999,30453000,60.015999
"76",59.034,59.995998,57.950001,58.048,28139500,58.048
"77",58.257999,58.324001,56.466,56.674,24467000,56.674
"78",57,57.417999,55.692001,56.692001,28426500,56.692001
"79",56.700001,57.032001,55.450001,56.138,20068000,56.138
"80",55.75,57.158001,55.299999,57.096001,21780000,57.096001
"81",57.074001,58.894001,56.765999,58.816002,21823000,58.816002
"82",58.722,59.745998,58.5,58.779999,21141000,58.779999
"83",58.702,60.164001,58.644001,59.984001,23128000,59.984001
"84",59.714001,61.369999,59.556,60.23,44852000,60.23
"85",55.757999,57.608002,55.046001,56.889999,86760500,56.889999
"86",56.599998,59.372002,55.903999,58.818001,42847000,58.818001
"87",59.5,61.192001,59.034,60.554001,43391000,60.554001
"88",60.16,61.549999,59.799999,60.394001,29650000,60.394001
"89",60.082001,61.402,60.009998,61.369999,28637000,61.369999
"90",61.5,62.598,60.821999,61.004002,28258000,61.004002
"91",61.540001,61.776001,59.816002,60.212002,23398000,60.212002
"92",60.664001,60.987999,58.324001,58.394001,36434000,58.394001
"93",57.001999,57.391998,56.099998,56.835999,47596000,56.835999
"94",56.765999,57.762001,56.312,57.296001,28370000,57.296001
"95",57.18,57.838001,56.793999,56.908001,22103000,56.908001
"96",56.93,56.93,54.799999,55.363998,36259500,55.363998
"97",56.265999,58.298,56.259998,56.897999,45913000,56.897999
"98",57.551998,57.599998,54.683998,55.001999,44729000,55.001999
"99",55.551998,55.981998,54.799999,55.813999,29925500,55.813999
"100",55.68,56.222,54.978001,55.57,20883500,55.57
"101",55.526001,55.928001,55.122002,55.77,19375500,55.77
"102",55.702,57.299999,55.23,56.751999,28333000,56.751999
"103",56.658001,59.001999,56.32,58.344002,37448500,58.344002
"104",57.442001,58.074001,56.585999,56.945999,29598500,56.945999
"105",57.172001,58.389999,56.768002,58.363998,27122000,58.363998
"106",58.868,59.799999,58.709999,59.348,23989000,59.348
"107",59.540001,59.560001,57.348,58.226002,29976000,58.226002
"108",60.099998,64.433998,59.495998,63.900002,93836500,63.900002
"109",63.23,66,62.716,63.217999,71726500,63.217999
"110",63.799999,64.896004,63.43,63.532001,41026000,63.532001
"111",64.501999,66.931999,64.5,66.419998,65917500,66.419998
"112",68.940002,70.994003,67.599998,68.554001,111737000,68.554001
"113",69.342003,69.440002,67.959999,68.956001,47349000,68.956001
"114",69.526001,71.75,69.32,71.543999,54905000,71.543999
"115",70.767998,72.933998,70.25,71.634003,54241500,71.634003
"116",71.080002,74.746002,70.900002,74.166,60366000,74.166
"117",73.031998,74,69.25,70.510002,63809500,70.510002
"118",71.608002,72.875999,70.400002,72.444,41918500,72.444
"119",72.400002,73.241997,69.253998,69.501999,39835500,69.501999
"120",70.307999,70.449997,66.400002,66.725998,51330500,66.725998
"121",66.024002,67.694,65.5,66.601997,34656500,66.601997
"122",67.209999,68.709999,65.160004,68.400002,37262500,68.400002
"123",69,70.157997,67.900002,68.900002,41668500,68.900002
"124",69.732002,71.403999,69.222,69.986,41990000,69.986
"125",70.666,70.772003,68.482002,68.589996,32462000,68.589996
"126",72.014,72.956001,65.970001,67.014,93799000,67.014
"127",66.349998,66.498001,61.938,62.172001,61413000,62.172001
"128",62.751999,62.877998,59.243999,61.832001,87382000,61.832001
"129",60.990002,62.414001,60.400002,61.779999,44327500,61.779999
"130",62.397999,63.703999,61.599998,63.702,37984000,63.702
"131",64.912003,65.536003,63.84,64.494003,47357500,64.494003
"132",63.16,64.388,63.014,63.792,24420500,63.792
"133",64.286003,64.646004,62.554001,63.341999,28606000,63.341999
"134",63.116001,63.916,61.849998,63.773998,29349000,63.773998
"135",62.341999,63.032001,61.25,62.02,39093500,62.02
"136",61.762001,64.947998,61.700001,64.538002,34981000,64.538002
"137",65,65.099998,63.25,64.769997,28121000,64.769997
"138",63.265999,64.708,62.801998,64.045998,29576500,64.045998
"139",64.246002,64.648003,62.341999,62.716,25811000,62.716
"140",60.368,61.099998,58.571999,60.639999,54964500,60.639999
"141",60.883999,61.543999,58.509998,59.486,47954000,59.486
"142",59.348,61.924,58.900002,61.748001,35377000,61.748001
"143",60.970001,62.139999,60.728001,61.330002,23152500,61.330002
"144",61.450001,61.537998,59.068001,59.436001,28516500,59.436001
"145",59.18,59.220001,57.226002,58.034,34070500,58.034
"146",58.450001,59.664001,57.813999,59.627998,25384500,59.627998
"147",59.598,60.599998,58.599998,60.167999,50647000,60.167999
"148",65.688004,69.998001,64.632004,69.907997,116075000,69.907997
"149",69.561996,71,68.505997,69.634003,68282500,69.634003
"150",69.092003,70.996002,68.363998,68.398003,42821500,68.398003
"151",68.767998,77.491997,67.830002,75.914001,154379000,75.914001
"152",73.818001,76.528,73.424004,74.068001,122856000,74.068001
"153",73.110001,73.402,69.146004,70.489998,85919000,70.489998
"154",70.800003,72,69.199997,71.098,57760000,71.098
"155",72.225998,72.638,69.804001,71.281998,52319500,71.281998
"156",71.690002,71.839996,69.419998,69.528,34932000,69.528
"157",68.382004,68.898003,66.428001,67.737999,45506500,67.737999
"158",67.982002,68.456001,66.764,67.089996,30320000,67.089996
"159",64.699997,65.353996,60.706001,61.099998,94793000,61.099998
"160",58.34,61.700001,57.639999,61.688,87011500,61.688
"161",62.122002,64.958,61.799999,64.379997,65861000,64.379997
"162",64.174004,64.776001,62.933998,64.328003,29730000,64.328003
"163",63.827999,65.463997,63.619999,64.019997,25736500,64.019997
"164",64.139999,64.769997,63.880001,64.564003,18013000,64.564003
"165",63.599998,64.487999,61.762001,63.854,65396500,63.854
"166",63.681999,63.776001,62.237999,62.372002,38245500,62.372002
"167",62.054001,62.369999,60.737999,61.001999,37237000,61.001999
"168",60.452,60.919998,59.543999,60.630001,36083500,60.630001
"169",60.400002,61.062,59.720001,60.332001,26875500,60.332001
"170",59.388,59.638,57.599998,57.790001,41752500,57.790001
"171",57.009998,57.355999,55.436001,56.147999,38604000,56.147999
"172",56.959999,58.234001,55.776001,56.189999,37404000,56.189999
"173",52.02,53.669998,50.450001,52.647999,112459500,52.647999
"174",54.652,57.206001,54.200001,57.099998,71417500,57.099998
"175",55.894001,56.400002,54.709999,55.888,45850000,55.888
"176",56.287998,58.5,55.73,58.108002,50077000,58.108002
"177",57.604,59,57.035999,57.891998,31701500,57.891998
"178",57.751999,59.466,57.304001,59.040001,33828000,59.040001
"179",58.007999,60.174,57.625999,58.967999,34438000,58.967999
"180",59.338001,60.528,55.099998,56.992001,82737500,56.992001
"181",56.102001,60,56.099998,59.804001,41474500,59.804001
"182",60.712002,61.195999,58.666,59.666,36747000,59.666
"183",59.540001,60.116001,59.074001,59.82,25252500,59.82
"184",59.695999,60.599998,58.716,59.936001,24215000,59.936001
"185",60,60.919998,59.299999,60.198002,22408500,60.198002
"186",60.382,62.778,60.222,61.916,39216000,61.916
"187",62.580002,62.992001,61.382,61.504002,42545500,61.504002
"188",54.051998,55.599998,52.112,52.953999,168248500,52.953999
"189",61.153999,62.287998,60.209999,62.139999,108888000,62.139999
"190",62.790001,63.368,59.830002,60.203999,58717500,60.203999
"191",60.666,60.919998,58.313999,58.959999,39975000,58.959999
"192",58.790001,58.799999,55.534,56.366001,49071000,56.366001
"193",54.93,54.976002,52,52.389999,89722500,52.389999
"194",52.903999,53.551998,49.799999,50.112,67363500,50.112
"195",51.049999,53.354,50.66,52.560001,60303000,52.560001
"196",52.922001,53.102001,49.554001,51.375999,64076500,51.375999
"197",51.506001,52.450001,49.806,50.445999,40838500,50.445999
"198",52.200001,52.397999,50.402,51.756001,36007000,51.756001
"199",51.812,52.655998,50.908001,51.917999,3.1e+07,51.917999
"200",53.139999,55.476002,52.448002,55.318001,47632000,55.318001
"201",56.48,56.540001,53.16,54.355999,43277500,54.355999
"202",53.858002,54.200001,52.599998,52.782001,27106000,52.782001
"203",53.478001,53.931999,50.700001,52,46877500,52
"204",52.136002,52.372002,50.518002,52.189999,28001500,52.189999
"205",52.773998,59.585999,52.419998,58.827999,95139000,58.827999
"206",60.209999,60.888,57.146,57.700001,100291500,57.700001
"207",63.444,64.199997,60.202,62.972,104203500,62.972
"208",61.650002,67.980003,61.330002,66.18,137127500,66.18
"209",67.494003,69.431999,65.300003,66.970001,72430000,66.970001
"210",65.678001,67.580002,64.452003,65.980003,45633500,65.980003
"211",66.508003,68.400002,65.82,67.463997,38121500,67.463997
"212",67.652,69.568001,66.945999,68.856003,40000500,68.856003
"213",68.748001,69.839996,68.181999,69.281998,39040000,69.281998
"214",68.099998,68.792,66.028,68.279999,39155000,68.279999
"215",67.814003,69.760002,67.218002,68.211998,33814500,68.211998
"216",68.667999,70.236,68.160004,69.632004,36872500,69.632004
"217",69.699997,71.515999,69.688004,70.279999,35453500,70.279999
"218",69.800003,70.800003,69.045998,70.101997,25494000,70.101997
"219",69.674004,69.956001,66.068001,66.255997,34707500,66.255997
"220",66.632004,68.940002,66.440002,67.746002,27243000,67.746002
"221",68.540001,69.421997,67.43,68.800003,25201500,68.800003
"222",68.466003,69.716003,67.807999,69.688004,23128500,69.688004
"223",69.038002,71.139999,69.024002,70.862,36031000,70.862
"224",71.267998,73.349998,70.575996,70.694,48544500,70.694
"225",68.349998,69.959999,66.709999,69.498001,40023500,69.498001
"226",70.400002,70.620003,67.480003,67.638,23434000,67.638
"227",66.870003,67.5,65.110001,65.166,21013000,65.166
"228",65,69.244003,65,69.199997,39960500,69.199997
"229",68.010002,69.391998,67.099998,68.783997,31791500,68.783997
"230",69.197998,69.655998,68.442001,69.573997,20638000,69.573997
"231",69.400002,69.5,67.910004,68.234001,15403500,68.234001
"232",68.365997,70.32,67.652,70.096001,28145500,70.096001
"233",72,73.199997,70.400002,71.697998,41532500,71.697998
"234",71.209999,73.736,70.400002,71.940002,42309500,71.940002
"235",71.202003,73.475998,70.152,72.612,39212500,72.612
"236",73.800003,75.898003,71.529999,71.594002,57556000,71.594002
"237",72,73.195999,70.624001,73.029999,33067500,73.029999
"238",73.982002,74.433998,72.045998,73.351997,31544000,73.351997
"239",73.884003,74.382004,73.031998,73.32,25135000,73.32
"240",74.029999,75.487999,73.349998,75.358002,36829500,75.358002
"241",75,75.573997,72.865997,73.141998,31688000,73.141998
"242",72.400002,73.139999,68.776001,69.683998,38370000,69.683998
"243",70.108002,70.309998,66.737999,67.405998,35500000,67.405998
"244",67.519997,69.402,65.947998,66.594002,41371000,66.594002
"245",65.410004,66.057999,62.374001,63.076,45359500,63.076
"246",63.48,64.694,62.487999,63.953999,40084000,63.953999
"247",62.700001,62.900002,59.040001,59.077999,27799500,59.077999
"248",60,65.393997,58.818001,65.218002,40815500,65.218002
"249",63.967999,64.433998,60.299999,63.226002,42875500,63.226002
"250",64.620003,67.248001,63.681999,66.774002,49695000,66.774002
"251",67.557999,67.842003,65.052002,66.559998,31511500,66.559998
"252",61.220001,63.026001,59.759998,62.023998,58293000,62.023998
"253",61.400002,61.880001,59.476002,60.071999,34826000,60.071999
"254",61.200001,63.599998,60.546001,63.537998,36970500,63.537998
"255",64.344002,67.348,63.549999,66.991997,37756000,66.991997
"256",68.391998,68.802002,65.403999,67.07,35042500,67.07
"257",67.099998,68.699997,66.293999,67.706001,27164500,67.706001
"258",66.879997,69.078003,66.358002,68.994003,30282000,68.994003
"259",68.417999,69.681999,67.753998,69.452003,25195500,69.452003
"260",68.475998,68.5,66.800003,66.879997,26236500,66.879997
"261",67,69.760002,66.900002,68.886002,30283000,68.886002
"262",68.956001,70.400002,68.699997,69.209999,23458500,69.209999
"263",69.241997,70.300003,68.830002,69.461998,18383500,69.461998
"264",64.599998,65.426003,59.945999,60.452,120754000,60.452
"265",60.964001,61.599998,59.099998,59.784,60333500,59.784
"266",58.5,58.900002,56.338001,57.518002,62650000,57.518002
"267",56.605999,58.736,55.855999,58.301998,40061000,58.301998
"268",58.877998,59.703999,57.91,59.408001,36248000,59.408001
"269",58.582001,59.492001,57.549999,59.276001,32116500,59.276001
"270",59.054001,59.712002,58.360001,59.492001,23108500,59.492001
"271",60.09,61.799999,59.698002,61.754002,56251500,61.754002
"272",60.200001,62.312,58.799999,61.403999,62846000,61.403999
"273",61.084,63.220001,60.700001,62.442001,36417000,62.442001
"274",62.596001,63.060001,60.375999,62.577999,36760500,62.577999
"275",62.498001,64.487999,62.450001,64.269997,33714000,64.269997
"276",63.917999,64.848,63.124001,63.444,25192500,63.444
"277",62.66,62.939999,60.599998,61.501999,32603000,61.501999
"278",61.366001,61.490002,59.700001,61.16,29221000,61.16
"279",62.32,63.720001,62.099998,62.568001,35648500,62.568001
"280",63.240002,63.638,61.924,62.362,27588000,62.362
"281",62.470001,62.549999,61.113998,61.633999,25708000,61.633999
"282",60.675999,61.354,60.200001,60.754002,26004000,60.754002
"283",60.900002,61.599998,60.779999,61.576,19524500,61.576
"284",61.312,62.307999,61.094002,61.127998,20842000,61.127998
"285",60.882,61.259998,59.799999,60.512001,35710500,60.512001
"286",60.362,60.647999,58.099998,58.245998,44546000,58.245998
"287",58.897999,59.299999,58.419998,58.942001,28703000,58.942001
"288",59.582001,60.580002,59.400002,59.754002,33132500,59.754002
"289",58.444,60.402,57.754002,59.571999,42912500,59.571999
"290",60.355999,63.259998,60.110001,62.948002,55919500,62.948002
"291",63.784,64,62.161999,63.976002,52603500,63.976002
"292",61.388,61.425999,58.380001,58.958,114557000,58.958
"293",59.624001,59.799999,56.556,57.071999,85484000,57.071999
"294",56.400002,56.799999,54.02,55.307999,93823500,55.307999
"295",55.296001,56.301998,54.877998,55.248001,51677500,55.248001
"296",55.768002,56.939999,54.849998,55.318001,47212500,55.318001
"297",55.382,57.118,55.178001,56.827999,44098000,56.827999
"298",56.703999,58.256001,56.099998,58.183998,36961500,58.183998
"299",57.298,57.613998,56.212002,56.672001,37520500,56.672001
"300",56.779999,58.397999,56.540001,57.792,34223500,57.792
"301",58.490002,59.077999,57.658001,57.992001,35517000,57.992001
"302",56.702,56.743999,54.880001,55.085999,73927500,55.085999
"303",55.200001,55.610001,53.459999,53.897999,51405000,53.897999
"304",53.5,54.66,52.692001,53.493999,59003000,53.493999
"305",53.938,54.993999,53.259998,54.720001,34541000,54.720001
"306",54.52,55.290001,53.689999,54.804001,29735500,54.804001
"307",54.515999,54.560001,52.799999,52.905998,43728000,52.905998
"308",51.942001,52.636002,50.891998,52.084,51075000,52.084
"309",52.888,54.051998,52.886002,53.554001,36754500,53.554001
"310",53.75,55.074001,53.636002,54.966,43896000,54.966
"311",55.431999,56.066002,55.02,55.723999,33870500,55.723999
"312",55.740002,56.032001,54.900002,55.972,29956500,55.972
"313",56.523998,57.84,56.256001,57.835999,40552000,57.835999
"314",57.66,57.888,56.776001,57.175999,27394500,57.175999
"315",57.464001,59.234001,57.433998,58.362,39597000,58.362
"316",52.377998,54.240002,52.118,53.556,118603500,53.556
"317",53.972,55.220001,53.222,54.992001,65191500,54.992001
"318",55.537998,56.231998,54.088001,54.639999,52052000,54.639999
"319",54.330002,55,53.922001,54.462002,29520000,54.462002
"320",55.348,55.675999,54.577999,55.212002,35306500,55.212002
"321",53.66,54.099998,53.119999,53.683998,49179500,53.683998
"322",54.043999,54.389999,53.366001,53.540001,33730000,53.540001
"323",53.726002,53.776001,51.726002,53.276001,50193000,53.276001
"324",53.150002,55,52.944,54.672001,36364500,54.672001
"325",54.950001,54.958,53.708,54.245998,25632500,54.245998
"326",54.245998,54.967999,53.950001,54.652,29381500,54.652
"327",53.799999,53.936001,52.495998,52.549999,60735500,52.549999
"328",52.029999,53.119999,51.150002,52.779999,54719500,52.779999
"329",52.77,53.063999,51.599998,51.731998,53637500,51.731998
"330",51,51.799999,49.214001,49.526001,109247000,49.526001
"331",49.299999,49.335999,46.226002,47.028,111803500,47.028
"332",47.172001,48.796001,46.433998,48.293999,83572500,48.293999
"333",48.411999,48.841999,47.400002,47.737999,47323000,47.737999
"334",47.77,48,46.299999,46.801998,53522000,46.801998
"335",49.104,49.425999,47.543999,48.82,90796500,48.82
"336",48.771999,51.321999,48.698002,51.006001,118534000,51.006001
"337",50.004002,51.669998,49.700001,51.068001,54169500,51.068001
"338",51.360001,51.442001,49.02,49.411999,50657000,49.411999
"339",49.388,50.119999,48.84,48.967999,30882000,48.967999
"340",48.400002,48.736,47.388,48.396,33557000,48.396
"341",47.950001,48.397999,47.203999,47.903999,35041500,47.903999
"342",46.402,46.493999,44.900002,45.402,54174000,45.402
"343",45.860001,46.900002,45.599998,46.462002,36262000,46.462002
"344",45.863998,46.487999,45.049999,46.389999,36480000,46.389999
"345",45.897999,46.200001,45.299999,45.666,37416500,45.666
"346",44.391998,44.448002,41.784,42.206001,88933500,42.206001
"347",40.560001,41.200001,39.049999,41.071999,102631000,41.071999
"348",39.551998,41.48,39.208,41.015999,90019500,41.015999
"349",39.82,40.787998,38.355999,38.546001,93426000,38.546001
"350",38.868,39.894001,37.243999,39.098,132735500,39.098
"351",39.966,39.995998,37.75,38.125999,70683000,38.125999
"352",38.240002,39,37.57,37.740002,51564500,37.740002
"353",37.419998,38.478001,37.007999,37.972,59843000,37.972
"354",37.75,38.452,37.403999,37.644001,39632500,37.644001
"355",37.02,37.984001,36.82,37.032001,52033500,37.032001
"356",37.102001,37.335999,35.397999,35.793999,65322000,35.793999
"357",36.220001,38.796001,35.922001,38.720001,69037500,38.720001
"358",39.736,40.256001,38.369999,39.318001,67554000,39.318001
"359",40.888,42.200001,40.360001,41.189999,101211000,41.189999
"360",41,42.167999,40.700001,40.900002,80017500,40.900002
"361",42.049999,43.388,41.801998,42.576,52925000,42.576
"362",43.827999,44.18,42.700001,43.419998,58267500,43.419998
"363",44.59,44.675999,41.799999,41.852001,75987500,41.852001
